id,ayah_no_quran,surah_no,surah_name_ar,surah_name_en,surah_name_roman,ayah_no_surah,text_ar,text_en_primary,text_en_yusufali,text_en_pickthall,text_en_arberry,juz_no,ruko_no,hizb_quarter,manzil_no,place_of_revelation,sajdah_ayah,no_of_words,topic,subtopic
1719,1719,13,الرعد,The Thunder,Ar-Ra'd,12,هُوَ ٱلَّذِى يُرِيكُمُ ٱلْبَرْقَ خَوْفًۭا وَطَمَعًۭا وَيُنشِئُ ٱلسَّحَابَ ٱلثِّقَالَ,"He is the One Who shows you lightning, inspiring ˹you with˺ hope and fear, and produces heavy clouds.","It is He Who doth show you the lightning, by way both of fear and of hope: It is He Who doth raise up the clouds, heavy with (fertilising) rain!","He it is Who showeth you the lightning, a fear and a hope, and raiseth the heavy clouds.","It is He who shows you the lightning, for fear and hope, and produces the heavy clouds;",13,206,100,3,Medinan,FALSE,9,Faith & Nature,
1720,1720,13,الرعد,The Thunder,Ar-Ra'd,13,وَيُسَبِّحُ ٱلرَّعْدُ بِحَمْدِهِۦ وَٱلْمَلَٰٓئِكَةُ مِنْ خِيفَتِهِۦ وَيُرْسِلُ ٱلصَّوَٰعِقَ فَيُصِيبُ بِهَا مَن يَشَآءُ وَهُمْ يُجَٰدِلُونَ فِى ٱللَّهِ وَهُوَ شَدِيدُ ٱلْمِحَالِ,"The thunder glorifies His praises, as do the angels in awe of Him. He sends thunderbolts, striking with them whoever He wills. Yet they dispute about Allah. And He is tremendous in might.","Nay, thunder repeateth His praises, and so do the angels, with awe: He flingeth the loud-voiced thunder-bolts, and therewith He striketh whomsoever He will..yet these (are the men) who (dare to) dispute about God, with the strength of His power (supreme)!","The thunder hymneth His praise and (so do) the angels for awe of Him. He launcheth the thunderbolts and smiteth with them whom He will while they dispute (in doubt) concerning Allah, and He is mighty in wrath.","the thunder proclaims. His praise, and the angels, in awe of Him. He looses the thunderbolts, and smites with them whomsoever He will; yet they dispute about God, who is mighty in power.",13,206,100,3,Medinan,FALSE,19,Faith & Nature,
1721,1721,13,الرعد,The Thunder,Ar-Ra'd,14,لَهُۥ دَعْوَةُ ٱلْحَقِّ ۖ وَٱلَّذِينَ يَدْعُونَ مِن دُونِهِۦ لَا يَسْتَجِيبُونَ لَهُم بِشَىْءٍ إِلَّا كَبَٰسِطِ كَفَّيْهِ إِلَى ٱلْمَآءِ لِيَبْلُغَ فَاهُ وَمَا هُوَ بِبَٰلِغِهِۦ ۚ وَمَا دُعَآءُ ٱلْكَٰفِرِينَ إِلَّا فِى ضَلَٰلٍۢ,"Calling upon Him ˹alone˺ is the truth. But those ˹idols˺ the pagans invoke besides Him ˹can˺ never respond to them in any way. ˹It is˺ just like someone who stretches out their hands to water, ˹asking it˺ to reach their mouths, but it can never do so. The calls of the disbelievers are only in vain.",For Him (alone) is prayer in Truth: any others that they call upon besides Him hear them no more than if they were to stretch forth their hands for water to reach their mouths but it reaches them not: for the prayer of those without Faith is nothing but (futile) wandering (in the mind).,"Unto Him is the real prayer. Those unto whom they pray beside Allah respond to them not at all, save as (is the response to) one who stretcheth forth his hands toward water (asking) that it may come unto his mouth, and it will never reach it. The prayer of disbelievers goeth (far) astray.","To Him is the call of truth; and those upon whom they call, apart from Him, answer them nothing, but it is as a man who stretches out his hands to water that it may reach his mouth, and it reaches it not. The prayer of the unbelievers goes only astray.",13,206,100,3,Medinan,FALSE,29,Faith & Nature,
1722,1722,13,الرعد,The Thunder,Ar-Ra'd,15,وَلِلَّهِ يَسْجُدُ مَن فِى ٱلسَّمَٰوَٰتِ وَٱلْأَرْضِ طَوْعًۭا وَكَرْهًۭا وَظِلَٰلُهُم بِٱلْغُدُوِّ وَٱلْءَاصَالِ ۩,"To Allah ˹alone˺ bow down ˹in submission˺ all those in the heavens and the earth—willingly or unwillingly—as do their shadows, morning and evening.","Whatever beings there are in the heavens and the earth do prostrate themselves to God (Acknowledging subjection),- with good-will or in spite of themselves: so do their shadows in the morning and evenings.","And unto Allah falleth prostrate whosoever is in the heavens and the earth, willingly or unwillingly, as do their shadows in the morning and the evening hours.","To God bow all who are in the heavens and the earth, willingly or unwillingly, as do their shadows also in the mornings and the evenings.",13,206,100,3,Medinan,TRUE,12,Faith & Nature,Creation & Natural Signs
1723,1723,13,الرعد,The Thunder,Ar-Ra'd,16,قُلْ مَن رَّبُّ ٱلسَّمَٰوَٰتِ وَٱلْأَرْضِ قُلِ ٱللَّهُ ۚ قُلْ أَفَٱتَّخَذْتُم مِّن دُونِهِۦٓ أَوْلِيَآءَ لَا يَمْلِكُونَ لِأَنفُسِهِمْ نَفْعًۭا وَلَا ضَرًّۭا ۚ قُلْ هَلْ يَسْتَوِى ٱلْأَعْمَىٰ وَٱلْبَصِيرُ أَمْ هَلْ تَسْتَوِى ٱلظُّلُمَٰتُ وَٱلنُّورُ ۗ أَمْ جَعَلُوا۟ لِلَّهِ شُرَكَآءَ خَلَقُوا۟ كَخَلْقِهِۦ فَتَشَٰبَهَ ٱلْخَلْقُ عَلَيْهِمْ ۚ قُلِ ٱللَّهُ خَٰلِقُ كُلِّ شَىْءٍۢ وَهُوَ ٱلْوَٰحِدُ ٱلْقَهَّٰرُ,"Ask ˹them, O  Prophet˺, “Who is the Lord of the heavens and the earth?” Say, “Allah!” Ask ˹them˺, “Why ˹then˺ have you taken besides Him lords who cannot even benefit or protect themselves?” Say, “Can the blind and the sighted be equal? Or can darkness and light be equal?” Or have they associated with Allah partners who ˹supposedly˺ produced a creation like His, leaving them confused between the two creations? Say, “Allah is the Creator of all things, and He is the One, the Supreme.”","Say: ""Who is the Lord and Sustainer of the heavens and the earth?"" Say: ""(It is) God."" Say: ""Do ye then take (for worship) protectors other than Him, such as have no power either for good or for harm to themselves?"" Say: ""Are the blind equal with those who see? Or the depths of darkness equal with light?"" Or do they assign to God partners who have created (anything) as He has created, so that the creation seemed to them similar? Say: ""God is the Creator of all things: He is the One, the Supreme and Irresistible.""","Say (O Muhammad): Who is Lord of the heavens and the earth ? Say: Allah. Say: Take ye then (others) beside Him for protectors, which, even for themselves, have neither benefit nor hurt ? Say: Is the blind man equal to the seer, or is darkness equal to light ? Or assign they unto Allah partners who created the like of His creation so that the creation (which they made and His creation) seemed alike to them ? Say: Allah is the Creator of all things, and He is the One, the Almighty.","Say: ’Who is the Lord of the heavens and of the earth?’ Say: ’God.’ Say: ’Then have you taken unto you others beside Him to be your protectors, even such as have no power to profit or hurt themselves?’ Say: ’Are the blind and the seeing man equal, or are the shadows and the light equal? Or have they ascribed to God associates who created as He created, so that creation is all alike to them?’ Say: ’God is the Creator of everything, and He is the One, the Omnipotent.’",13,206,100,3,Medinan,FALSE,49,Faith & Nature,Creation & Natural Signs
1724,1724,13,الرعد,The Thunder,Ar-Ra'd,17,أَنزَلَ مِنَ ٱلسَّمَآءِ مَآءًۭ فَسَالَتْ أَوْدِيَةٌۢ بِقَدَرِهَا فَٱحْتَمَلَ ٱلسَّيْلُ زَبَدًۭا رَّابِيًۭا ۚ وَمِمَّا يُوقِدُونَ عَلَيْهِ فِى ٱلنَّارِ ٱبْتِغَآءَ حِلْيَةٍ أَوْ مَتَٰعٍۢ زَبَدٌۭ مِّثْلُهُۥ ۚ كَذَٰلِكَ يَضْرِبُ ٱللَّهُ ٱلْحَقَّ وَٱلْبَٰطِلَ ۚ فَأَمَّا ٱلزَّبَدُ فَيَذْهَبُ جُفَآءًۭ ۖ وَأَمَّا مَا يَنفَعُ ٱلنَّاسَ فَيَمْكُثُ فِى ٱلْأَرْضِ ۚ كَذَٰلِكَ يَضْرِبُ ٱللَّهُ ٱلْأَمْثَالَ,"He sends down rain from the sky, causing the valleys to flow, each according to its capacity. The currents then carry along rising foam, similar to the slag produced from metal that people melt in the fire for ornaments or tools. This is how Allah compares truth to falsehood. The ˹worthless˺ residue is then cast away, but what benefits people remains on the earth. This is how Allah sets forth parables.","He sends down water from the skies, and the channels flow, each according to its measure: But the torrent bears away to foam that mounts up to the surface. Even so, from that (ore) which they heat in the fire, to make ornaments or utensils therewith, there is a scum likewise. Thus doth God (by parables) show forth Truth and Vanity. For the scum disappears like forth cast out; while that which is for the good of mankind remains on the earth. Thus doth God set forth parables.","He sendeth down water from the sky, so that valleys flow according to their measure, and the flood beareth (on its surface) swelling foam - from that which they smelt in the fire in order to make ornaments and tools riseth a foam like unto it - thus Allah coineth (the similitude of) the true and the false. Then, as for the foam, it passeth away as scum upon the banks, while, as for that which is of use to mankind, it remaineth in the earth. Thus Allah coineth the similitudes.","He sends down out of heaven water, and the wadis flow each in its measure, and the torrent carries a swelling scum; and out of that over which they kindle fire, being desirous of ornament or ware, out of that rises a scum the like of it. So God strikes both the true and the false. As for the scum, it vanishes as jetsam, and what profits men abides in the earth. Even so God strikes His similitudes.",13,206,100,3,Medinan,FALSE,47,Faith & Nature,Creation & Natural Signs
1725,1725,13,الرعد,The Thunder,Ar-Ra'd,18,لِلَّذِينَ ٱسْتَجَابُوا۟ لِرَبِّهِمُ ٱلْحُسْنَىٰ ۚ وَٱلَّذِينَ لَمْ يَسْتَجِيبُوا۟ لَهُۥ لَوْ أَنَّ لَهُم مَّا فِى ٱلْأَرْضِ جَمِيعًۭا وَمِثْلَهُۥ مَعَهُۥ لَٱفْتَدَوْا۟ بِهِۦٓ ۚ أُو۟لَٰٓئِكَ لَهُمْ سُوٓءُ ٱلْحِسَابِ وَمَأْوَىٰهُمْ جَهَنَّمُ ۖ وَبِئْسَ ٱلْمِهَادُ,"Those who respond to ˹the call of˺ their Lord will have the finest reward. As for those who do not respond to Him, even if they were to possess everything in the world twice over, they would certainly offer it to ransom themselves. They will face strict judgment, and Hell will be their home. What an evil place to rest!","For those who respond to their Lord, are (all) good things. But those who respond not to Him,- Even if they had all that is in the heavens and on earth, and as much more, (in vain) would they offer it for ransom. For them will the reckoning be terrible: their abode will be Hell,- what a bed of misery!","For those who answered Allah’s call is bliss; and for those who answered not His call, if they had all that is in the earth, and therewith the like thereof, they would proffer it as ransom. Such will have a woeful reckoning, and their habitation will be hell, a dire abode.","For those who answer their Lord, the reward most fair; and those who answer Him not -- if they possessed all that is in the earth and the like of it with it, they would offer it for their ransom. Those theirs shall be the evil reckoning, and their refuge shall be Gehenna -- an evil cradling!",13,206,100,3,Medinan,FALSE,30,Faith & Nature,Creation & Natural Signs
1726,1726,13,الرعد,The Thunder,Ar-Ra'd,19,۞ أَفَمَن يَعْلَمُ أَنَّمَآ أُنزِلَ إِلَيْكَ مِن رَّبِّكَ ٱلْحَقُّ كَمَنْ هُوَ أَعْمَىٰٓ ۚ إِنَّمَا يَتَذَكَّرُ أُو۟لُوا۟ ٱلْأَلْبَٰبِ,Can the one who knows that your Lord’s revelation to you ˹O Prophet˺ is the truth be like the one who is blind? None will be mindful ˹of this˺ except people of reason.,"Is then one who doth know that that which hath been revealed unto thee from thy Lord is the Truth, like one who is blind? It is those who are endued with understanding that receive admonition;-",Is he who knoweth that what is revealed unto thee from thy Lord is the truth like him who is blind ? But only men of understanding heed;,"What, is he who knows what is sent down to thee from thy Lord is the truth, like him who is blind? Only men possessed of minds remember;",13,207,101,3,Medinan,FALSE,17,Faith & Nature,
1727,1727,13,الرعد,The Thunder,Ar-Ra'd,20,ٱلَّذِينَ يُوفُونَ بِعَهْدِ ٱللَّهِ وَلَا يَنقُضُونَ ٱلْمِيثَٰقَ,"˹They are˺ those who honour Allah’s covenant, never breaking the pledge;",Those who fulfil the covenant of God and fail not in their plighted word;,"Such as keep the pact of Allah, and break not the covenant;","who fulfil God’s covenant, and break not the compact,",13,207,101,3,Medinan,FALSE,7,Faith & Nature,
1728,1728,13,الرعد,The Thunder,Ar-Ra'd,21,وَٱلَّذِينَ يَصِلُونَ مَآ أَمَرَ ٱللَّهُ بِهِۦٓ أَن يُوصَلَ وَيَخْشَوْنَ رَبَّهُمْ وَيَخَافُونَ سُوٓءَ ٱلْحِسَابِ,"and those who maintain whatever ˹ties˺ Allah has ordered to be maintained, stand in awe of their Lord, and fear strict judgment.","Those who join together those things which God hath commanded to be joined, hold their Lord in awe, and fear the terrible reckoning;","Such as unite that which Allah hath commandeth should be joined, and fear their Lord, and dread a woeful reckoning;","who join what God has commanded shall be joined, and fear their Lord, and dread the evil reckoning,",13,207,101,3,Medinan,FALSE,13,Faith & Nature,
1729,1729,13,الرعد,The Thunder,Ar-Ra'd,22,وَٱلَّذِينَ صَبَرُوا۟ ٱبْتِغَآءَ وَجْهِ رَبِّهِمْ وَأَقَامُوا۟ ٱلصَّلَوٰةَ وَأَنفَقُوا۟ مِمَّا رَزَقْنَٰهُمْ سِرًّۭا وَعَلَانِيَةًۭ وَيَدْرَءُونَ بِٱلْحَسَنَةِ ٱلسَّيِّئَةَ أُو۟لَٰٓئِكَ لَهُمْ عُقْبَى ٱلدَّارِ,"And ˹they are˺ those who endure patiently, seeking their Lord’s pleasure, establish prayer, donate from what We have provided for them—secretly and openly—and respond to evil with good. It is they who will have the ultimate abode:","Those who patiently persevere, seeking the countenance of their Lord; Establish regular prayers; spend, out of (the gifts) We have bestowed for their sustenance, secretly and openly; and turn off Evil with good: for such there is the final attainment of the (eternal) home,-","Such as persevere in seeking their Lord’s Countenance and are regular in prayer and spend of that which We bestow upon them secretly and openly, and overcome evil with good. Theirs will be the sequel of the (heavenly) Home,","patient men, desirous of the Face of their Lord, who perform the prayer, and expend of that We have provided them, secretly and in public, and who avert evil with good -- theirs shall be the Ultimate Abode,",13,207,101,3,Medinan,FALSE,19,Faith & Nature,
1730,1730,13,الرعد,The Thunder,Ar-Ra'd,23,جَنَّٰتُ عَدْنٍۢ يَدْخُلُونَهَا وَمَن صَلَحَ مِنْ ءَابَآئِهِمْ وَأَزْوَٰجِهِمْ وَذُرِّيَّٰتِهِمْ ۖ وَٱلْمَلَٰٓئِكَةُ يَدْخُلُونَ عَلَيْهِم مِّن كُلِّ بَابٍۢ,"the Gardens of Eternity, which they will enter along with the righteous among their parents, spouses, and descendants. And the angels will enter upon them from every gate, ˹saying,˺","Gardens of perpetual bliss: they shall enter there, as well as the righteous among their fathers, their spouses, and their offspring: and angels shall enter unto them from every gate (with the salutation):","Gardens of Eden which they enter, along with all who do right of their fathers and their helpmeets and their seed. The angels enter unto them from every gate,","Gardens of Eden which they shall enter; and those who were righteous of their fathers, and their wives, and their seed, shall enter them, and the angels shall enter unto them from every gate:",13,207,101,3,Medinan,FALSE,16,Faith & Nature,
1731,1731,13,الرعد,The Thunder,Ar-Ra'd,24,سَلَٰمٌ عَلَيْكُم بِمَا صَبَرْتُمْ ۚ فَنِعْمَ عُقْبَى ٱلدَّارِ,“Peace be upon you for your perseverance. How excellent is the ultimate abode!”,"""Peace unto you for that ye persevered in patience! Now how excellent is the final home!""","(Saying): Peace be unto you because ye persevered. Ah, passing sweet will be the sequel of the (heavenly) Home.","’Peace be upon you, for that you were patient.’ Fair is the Ultimate Abode.",13,207,101,3,Medinan,FALSE,8,Faith & Nature,
1732,1732,13,الرعد,The Thunder,Ar-Ra'd,25,وَٱلَّذِينَ يَنقُضُونَ عَهْدَ ٱللَّهِ مِنۢ بَعْدِ مِيثَٰقِهِۦ وَيَقْطَعُونَ مَآ أَمَرَ ٱللَّهُ بِهِۦٓ أَن يُوصَلَ وَيُفْسِدُونَ فِى ٱلْأَرْضِ ۙ أُو۟لَٰٓئِكَ لَهُمُ ٱللَّعْنَةُ وَلَهُمْ سُوٓءُ ٱلدَّارِ,"And those who violate Allah’s covenant after it has been affirmed, break whatever ˹ties˺ Allah has ordered to be maintained, and spread corruption in the land—it is they who will be condemned and will have the worst abode.","But those who break the Covenant of God, after having plighted their word thereto, and cut asunder those things which God has commanded to be joined, and work mischief in the land;- on them is the curse; for them is the terrible home!","And those who break the covenant of Allah after ratifying it, and sever that which Allah hath commanded should be joined, and make mischief in the earth: theirs is the curse and theirs the ill abode.","And those who break the covenant of God after His compact, and who snap what God has commanded to be joined, and who work corruption in the earth -- theirs shall be the curse, and theirs the Evil Abode.",13,207,101,3,Medinan,FALSE,24,Faith & Nature,Creation & Natural Signs
1733,1733,13,الرعد,The Thunder,Ar-Ra'd,26,ٱللَّهُ يَبْسُطُ ٱلرِّزْقَ لِمَن يَشَآءُ وَيَقْدِرُ ۚ وَفَرِحُوا۟ بِٱلْحَيَوٰةِ ٱلدُّنْيَا وَمَا ٱلْحَيَوٰةُ ٱلدُّنْيَا فِى ٱلْءَاخِرَةِ إِلَّا مَتَٰعٌۭ,"Allah gives abundant or limited provisions to whoever He wills. And the disbelievers become prideful of ˹the pleasures of˺ this worldly life. But the life of this world, compared to the Hereafter, is nothing but a fleeting enjoyment.","God doth enlarge, or grant by (strict) measure, the sustenance (which He giveth) to whomso He pleaseth. (The wordly) rejoice in the life of this world: But the life of this world is but little comfort in the Hereafter.","Allah enlargeth livelihood for whom He will, and straiteneth (it for whom He will); and they rejoice in the life of the world, whereas the life of the world is but brief comfort as compared with the Hereafter.","God outspreads and straitens His provision unto whomsoever He will. They rejoice in this present life; and this present life, beside the world to come, is naught but passing enjoyment.",13,207,101,3,Medinan,FALSE,17,Faith & Nature,
1734,1734,13,الرعد,The Thunder,Ar-Ra'd,27,وَيَقُولُ ٱلَّذِينَ كَفَرُوا۟ لَوْلَآ أُنزِلَ عَلَيْهِ ءَايَةٌۭ مِّن رَّبِّهِۦ ۗ قُلْ إِنَّ ٱللَّهَ يُضِلُّ مَن يَشَآءُ وَيَهْدِىٓ إِلَيْهِ مَنْ أَنَابَ,"The disbelievers say, “If only a sign could be sent down to him from his Lord.” Say, ˹O Prophet,˺ “Indeed, Allah leaves to stray whoever He wills, and guides to Himself whoever turns to Him—","The Unbelievers say: ""Why is not a sign sent down to him from his Lord?"" Say: ""Truly God leaveth, to stray, whom He will; But He guideth to Himself those who turn to Him in penitence,-","Those who disbelieve say: If only a portent were sent down upon him from his Lord! Say: Lo! Allah sendeth whom He will astray, and guideth unto Himself all who turn (unto Him),","The unbelievers say, ’Why has a sign not been sent down upon him from his Lord?’ Say: ’God leads astray whomsoever He will, and He guides to Him all who are penitent.’",13,208,101,3,Medinan,FALSE,20,Faith & Nature,
1735,1735,13,الرعد,The Thunder,Ar-Ra'd,28,ٱلَّذِينَ ءَامَنُوا۟ وَتَطْمَئِنُّ قُلُوبُهُم بِذِكْرِ ٱللَّهِ ۗ أَلَا بِذِكْرِ ٱللَّهِ تَطْمَئِنُّ ٱلْقُلُوبُ,those who believe and whose hearts find comfort in the remembrance of Allah. Surely in the remembrance of Allah do hearts find comfort.,"""Those who believe, and whose hearts find satisfaction in the remembrance of God: for without doubt in the remembrance of God do hearts find satisfaction.",Who have believed and whose hearts have rest in the remembrance of Allah. Verily in the remembrance of Allah do hearts find rest!,"Those who believe, their hearts being at rest in God’s remembrance -- in God’s remembrance are at rest the hearts",13,208,101,3,Medinan,FALSE,12,Faith & Nature,
1736,1736,13,الرعد,The Thunder,Ar-Ra'd,29,ٱلَّذِينَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّٰلِحَٰتِ طُوبَىٰ لَهُمْ وَحُسْنُ مَـَٔابٍۢ,"Those who believe and do good, for them will be bliss and an honourable destination.”","""For those who believe and work righteousness, is (every) blessedness, and a beautiful place of (final) return.""","Those who believe and do right: Joy is for them, and bliss (their) journey’s end.",of those who believe and do righteous deeds; theirs is blessedness and a fair resort.,13,208,101,3,Medinan,FALSE,8,Faith & Nature,
1737,1737,13,الرعد,The Thunder,Ar-Ra'd,30,كَذَٰلِكَ أَرْسَلْنَٰكَ فِىٓ أُمَّةٍۢ قَدْ خَلَتْ مِن قَبْلِهَآ أُمَمٌۭ لِّتَتْلُوَا۟ عَلَيْهِمُ ٱلَّذِىٓ أَوْحَيْنَآ إِلَيْكَ وَهُمْ يَكْفُرُونَ بِٱلرَّحْمَٰنِ ۚ قُلْ هُوَ رَبِّى لَآ إِلَٰهَ إِلَّا هُوَ عَلَيْهِ تَوَكَّلْتُ وَإِلَيْهِ مَتَابِ,"And so We have sent you ˹O Prophet˺ to a community, like ˹We did with˺ earlier communities, so that you may recite to them what We have revealed to you. Yet they deny the Most Compassionate. Say, “He is my Lord! There is no god ˹worthy of worship˺ except Him. In Him I put my trust, and to Him I turn ˹in repentance˺.”","Thus have we sent thee amongst a People before whom (long since) have (other) Peoples (gone and) passed away; in order that thou mightest rehearse unto them what We send down unto thee by inspiration; yet do they reject (Him), the Most Gracious! Say: ""He is my Lord! There is no god but He! On Him is my trust, and to Him do I turn!""","Thus We send thee (O Muhammad) unto a nation, before whom other nations have passed away, that thou mayst recite unto them that which We have inspired in thee, while they are disbelievers in the Beneficent. Say: He is my Lord; there is no God save Him. In Him do I put my trust and unto Him is my recourse.","Thus We have sent thee among a nation before which other nations have passed away, to recite to them that We have revealed to thee; and yet they disbelieve in the All-merciful. Say: ’He is my Lord -- there is no god but He. In Him I have put my trust, and to Him I turn.’",13,208,101,3,Medinan,FALSE,29,Faith & Nature,
1738,1738,13,الرعد,The Thunder,Ar-Ra'd,31,وَلَوْ أَنَّ قُرْءَانًۭا سُيِّرَتْ بِهِ ٱلْجِبَالُ أَوْ قُطِّعَتْ بِهِ ٱلْأَرْضُ أَوْ كُلِّمَ بِهِ ٱلْمَوْتَىٰ ۗ بَل لِّلَّهِ ٱلْأَمْرُ جَمِيعًا ۗ أَفَلَمْ يَا۟يْـَٔسِ ٱلَّذِينَ ءَامَنُوٓا۟ أَن لَّوْ يَشَآءُ ٱللَّهُ لَهَدَى ٱلنَّاسَ جَمِيعًۭا ۗ وَلَا يَزَالُ ٱلَّذِينَ كَفَرُوا۟ تُصِيبُهُم بِمَا صَنَعُوا۟ قَارِعَةٌ أَوْ تَحُلُّ قَرِيبًۭا مِّن دَارِهِمْ حَتَّىٰ يَأْتِىَ وَعْدُ ٱللَّهِ ۚ إِنَّ ٱللَّهَ لَا يُخْلِفُ ٱلْمِيعَادَ,"If there were a recitation that could cause mountains to move, or the earth to split, or the dead to speak, ˹it would have been this Quran˺. But all matters are by Allah’s Will. Have the believers not yet realized that had Allah willed, He could have guided all of humanity? And disasters will continue to afflict the disbelievers or strike close to their homes for their misdeeds, until Allah’s promise comes to pass. Surely Allah never fails in His promise.","If there were a Qur’an with which mountains were moved, or the earth were cloven asunder, or the dead were made to speak, (this would be the one!) But, truly, the command is with God in all things! Do not the Believers know, that, had God (so) willed, He could have guided all mankind (to the right)? But the Unbelievers,- never will disaster cease to seize them for their (ill) deeds, or to settle close to their homes, until the promise of God come to pass, for, verily, God will not fail in His promise.","Had it been possible for a Lecture to cause the mountains to move, or the earth to be torn asunder, or the dead to speak, (this Qur’an would have done so). Nay, but Allah’s is the whole command. Do not those who believe know that, had Allah willed, He could have guided all mankind ? As for those who disbelieve, disaster ceaseth not to strike them because of what they do, or it dwelleth near their home until the threat of Allah come to pass. Lo! Allah faileth not to keep the tryst.","If only a Koran whereby the mountains were set in motion, or the earth were cleft, or the dead were spoken to -- nay, but God’s is the affair altogether. Did not the believers know that, if God had willed, He would have guided men all together? And still the unbelievers are smitten by a shattering for what they wrought, or it alights nigh their habitation, until God’s promise comes; and God will not fail the tryst.",13,208,101,3,Medinan,FALSE,55,Faith & Nature,Creation & Natural Signs
1739,1739,13,الرعد,The Thunder,Ar-Ra'd,32,وَلَقَدِ ٱسْتُهْزِئَ بِرُسُلٍۢ مِّن قَبْلِكَ فَأَمْلَيْتُ لِلَّذِينَ كَفَرُوا۟ ثُمَّ أَخَذْتُهُمْ ۖ فَكَيْفَ كَانَ عِقَابِ,"Other messengers had already been ridiculed before you, but I delayed the disbelievers ˹for a while˺ then seized them. And how ˹horrible˺ was My punishment!","Mocked were (many) apostles before thee: but I granted respite to the unbelievers, and finally I punished them: Then how (terrible) was my requital!","And verily messengers (of Allah) were mocked before thee, but long I bore with those who disbelieved. At length I seized them, and how (awful) was My punishment!","Messengers indeed were scoffed at before thee, and I respited the unbelievers; then I seized them -- and how was my retribution?",13,209,101,3,Medinan,FALSE,14,Faith & Nature,
1740,1740,13,الرعد,The Thunder,Ar-Ra'd,33,أَفَمَنْ هُوَ قَآئِمٌ عَلَىٰ كُلِّ نَفْسٍۭ بِمَا كَسَبَتْ ۗ وَجَعَلُوا۟ لِلَّهِ شُرَكَآءَ قُلْ سَمُّوهُمْ ۚ أَمْ تُنَبِّـُٔونَهُۥ بِمَا لَا يَعْلَمُ فِى ٱلْأَرْضِ أَم بِظَٰهِرٍۢ مِّنَ ٱلْقَوْلِ ۗ بَلْ زُيِّنَ لِلَّذِينَ كَفَرُوا۟ مَكْرُهُمْ وَصُدُّوا۟ عَنِ ٱلسَّبِيلِ ۗ وَمَن يُضْلِلِ ٱللَّهُ فَمَا لَهُۥ مِنْ هَادٍۢ,"Is ˹there any equal to˺ the Vigilant One Who knows what every soul commits? Yet the pagans have associated others with Allah ˹in worship˺. Say, ˹O Prophet,˺ “Name them! Or do you ˹mean to˺ inform Him of something He does not know on the earth? Or are these ˹gods˺ just empty words?” In fact, the disbelievers’ falsehood has been made so appealing to them that they have been turned away from the Path. And whoever Allah leaves to stray will be left with no guide.","Is then He who standeth over every soul (and knoweth) all that it doth, (like any others)? And yet they ascribe partners to God. Say: ""But name them! is it that ye will inform Him of something he knoweth not on earth, or is it (just) a show of words?"" Nay! to those who believe not, their pretence seems pleasing, but they are kept back (thereby) from the path. And those whom God leaves to stray, no one can guide.","Is He Who is aware of the deserts of every soul (as he who is aware of nothing) ? Yet they ascribe unto Allah partners. Say: Name them. Is it that ye would inform Him of something which He knoweth not in the earth ? Or is it but a way of speaking ? Nay but their contrivance is made seeming fair for those who disbelieve and they are kept from the right road. He whom Allah sendeth astray, for him there is no guide.","What, He who stands over every soul for what it has earned? -- And yet they ascribe to God associates. Say: ’Name them! Or will you tell Him what He knows not in the earth? Or in apparent words?’ Nay; but decked out fair to the unbelievers is their devising, and they are barred from the way; and whomsoever God leads astray, no guide has he.",13,209,101,3,Medinan,FALSE,43,Faith & Nature,Creation & Natural Signs
1741,1741,13,الرعد,The Thunder,Ar-Ra'd,34,لَّهُمْ عَذَابٌۭ فِى ٱلْحَيَوٰةِ ٱلدُّنْيَا ۖ وَلَعَذَابُ ٱلْءَاخِرَةِ أَشَقُّ ۖ وَمَا لَهُم مِّنَ ٱللَّهِ مِن وَاقٍۢ,"For them is punishment in this worldly life, but the punishment of the Hereafter is truly far worse. And none can shield them from Allah.","For them is a penalty in the life of this world, but harder, truly, is the penalty of the Hereafter: and defender have they none against God.","For them is torment in the life of the world, and verily the doom of the Hereafter is more painful, and they have no defender from Allah.",For them is chastisement in the present life; and the chastisement of the world to come is yet more grievous; they have none to defend them from God.,13,209,101,3,Medinan,FALSE,16,Faith & Nature,
